County,Population,Offenders
Wilson,118961,22
Blount,124177,103
Shelby,940764,110
Union,19127,1
Humphreys,18275,88
Montgomery,184468,23
Wayne,16996,22
Robertson,66931,0
White,26082,25
Hamblen,62746,12
Henderson,28023,24
Weakley,34793,11
Dickson,50381,89
Bedford,45573,2
Obion,31340,66
Smith,19102,4
Hancock,6720,0
Henry,32341,80
Trousdale,7795,13
Moore,6339,0
Sullivan,156786,127
Maury,81990,90
Washington,125094,10
Bradley,101134,201
Marion,28291,47
Hickman,24170,46
Polk,16686,18
Warren,39839,219
Perry,7860,5
Jackson,11441,6
Anderson,75416,97
Jefferson,52191,49
Rhea,32247,46
Hardin,25950,96
Putnam,73229,100
Coffee,53222,105
Sevier,92512,4
Crockett,14623,11
Hamilton,345545,97
Lauderdale,27718,69
Johnson,18095,39
Rutherford,274454,7
Greene,68819,23
Chester,17171,4
Overton,22190,0
Clay,7840,18
McMinn,52416,144
Gibson,49626,62
Macon,22498,44
Madison,98656,24
Grainger,22706,19
Hawkins,56587,93
Meigs,11698,28
Davidson,648295,53
Cheatham,39271,4
Bledsoe,12792,10
Lawrence,42086,21
Fayette,38659,13
Claiborne,31736,6
Lincoln,33503,37
Franklin,40772,43
Dyer,38255,1
Sumner,166123,34
Marshall,30883,11
Carroll,28390,74
Grundy,13650,42
Campbell,40420,72
Hardeman,26533,59
Sequatchie,14423,11
Cumberland,57029,82
McNairy,26180,70
Lake,7690,11
Roane,53469,20
DeKalb,18901,51
Loudon,49793,51
Haywood,18240,2
Williamson,192911,30
Cannon,13811,3
Van Buren,5628,11
Giles,29072,11
Knox,441311,12
Decatur,11673,44
Tipton,61705,46
Benton,16361,61
Pickett,5100,0
Morgan,21931,25
Unicoi,18235,1
Stewart,13297,14
Houston,8413,0
Fentress,17940,21
Carter,57355,77
Cocke,35571,1
Lewis,11896,26
Scott,22173,57
Monroe,45133,126
