GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US47001,47001,"Anderson County, Tennessee",75129,75126,75141,75208,75416
0500000US47003,47003,"Bedford County, Tennessee",45058,45058,45129,45360,45573
0500000US47005,47005,"Benton County, Tennessee",16489,16489,16483,16402,16361
0500000US47007,47007,"Bledsoe County, Tennessee",12876,12869,12862,12842,12792
0500000US47009,47009,"Blount County, Tennessee",123010,123010,123138,123712,124177
0500000US47011,47011,"Bradley County, Tennessee",98963,98963,99146,99959,101134
0500000US47013,47013,"Campbell County, Tennessee",40716,40716,40690,40573,40420
0500000US47015,47015,"Cannon County, Tennessee",13801,13801,13800,13729,13811
0500000US47017,47017,"Carroll County, Tennessee",28522,28522,28494,28429,28390
0500000US47019,47019,"Carter County, Tennessee",57424,57424,57350,57417,57355
0500000US47021,47021,"Cheatham County, Tennessee",39105,39107,39107,39020,39271
0500000US47023,47023,"Chester County, Tennessee",17131,17131,17163,17175,17171
0500000US47025,47025,"Claiborne County, Tennessee",32213,32213,32243,32083,31736
0500000US47027,47027,"Clay County, Tennessee",7861,7861,7851,7829,7840
0500000US47029,47029,"Cocke County, Tennessee",35662,35662,35631,35477,35571
0500000US47031,47031,"Coffee County, Tennessee",52796,52796,52803,52966,53222
0500000US47033,47033,"Crockett County, Tennessee",14586,14584,14563,14533,14623
0500000US47035,47035,"Cumberland County, Tennessee",56053,56053,56217,56618,57029
0500000US47037,47037,"Davidson County, Tennessee",626681,626684,628021,635592,648295
0500000US47039,47039,"Decatur County, Tennessee",11757,11757,11737,11701,11673
0500000US47041,47041,"DeKalb County, Tennessee",18723,18723,18731,18803,18901
0500000US47043,47043,"Dickson County, Tennessee",49666,49666,49737,50094,50381
0500000US47045,47045,"Dyer County, Tennessee",38335,38337,38321,38190,38255
0500000US47047,47047,"Fayette County, Tennessee",38413,38413,38413,38539,38659
0500000US47049,47049,"Fentress County, Tennessee",17959,17959,17934,18025,17940
0500000US47051,47051,"Franklin County, Tennessee",41052,41052,40987,40867,40772
0500000US47053,47053,"Gibson County, Tennessee",49683,49683,49696,49865,49626
0500000US47055,47055,"Giles County, Tennessee",29485,29485,29384,29339,29072
0500000US47057,47057,"Grainger County, Tennessee",22657,22657,22714,22752,22706
0500000US47059,47059,"Greene County, Tennessee",68831,68831,68806,69079,68819
0500000US47061,47061,"Grundy County, Tennessee",13703,13708,13717,13647,13650
0500000US47063,47063,"Hamblen County, Tennessee",62544,62544,62611,62850,62746
0500000US47065,47065,"Hamilton County, Tennessee",336463,336465,337328,340870,345545
0500000US47067,47067,"Hancock County, Tennessee",6819,6819,6826,6717,6720
0500000US47069,47069,"Hardeman County, Tennessee",27253,27253,27144,26839,26533
0500000US47071,47071,"Hardin County, Tennessee",26026,26026,26031,25850,25950
0500000US47073,47073,"Hawkins County, Tennessee",56833,56833,56842,56643,56587
0500000US47075,47075,"Haywood County, Tennessee",18787,18787,18749,18519,18240
0500000US47077,47077,"Henderson County, Tennessee",27769,27769,27748,28003,28023
